"","SWE","DNK","FRATNP","GBRTENW","NOR","FIN","ITA","GBRSCO","NLD"
"1989",0.17823621374796,0.196921694297889,0.221916782798916,0.189995512730209,0.186269979944066,0.215479588897959,0.236034917923219,0.20785769665672,0.185203205908149
"1993",0.170780916848463,0.189552304599185,0.212155468969404,0.180951280630807,0.178145628467937,0.202312124277533,0.22155106845525,0.197345210426447,0.175264876295827
"1997",0.163494730409542,0.182404371804829,0.202890917153336,0.172435359610776,0.170215274083611,0.19077087750575,0.208075694274383,0.188324628692795,0.166700226598828
"2001",0.156208413899095,0.174988401477554,0.193805360852356,0.16474030952336,0.162892922361127,0.180777252096814,0.195246827149602,0.180681815509564,0.159089157278892
"2005",0.14960015179427,0.167586741720789,0.185377973466519,0.157803555718802,0.155901072529549,0.173120482919132,0.183187112175311,0.173732688264067,0.152247875266418
"2009",0.143525852718564,0.160917550030589,0.177810197837976,0.152195499757931,0.149691102045029,0.167446458502044,0.172075380163223,0.168070683990689,0.146129436331904
"2013",0.137938062202614,0.154643048705529,0.170929809847738,0.147425498746752,0.144556860772158,0.161877735677906,0.162094637172625,0.162617943759576,0.140903240429633
"2017",0.133027206121254,0.14858063474985,0.164732615848386,0.143814579561815,0.139202943132027,0.156210535224546,0.153526822033716,0.158234245755216,0.136079684354803
