"","SWE","DNK","FRATNP","GBRTENW","NOR","FIN","ITA","GBRSCO","NLD"
"1878",0.540471370598291,0.525095403504274,0.531606377179487,0.527657931858974,0.511566932905983,0.553579736581197,0.567951088333333,0.531963139957265,0.553581106410256
"1879",0.493954198082415,0.496900025499796,0.497840812933497,0.485447118482252,0.473936087168503,0.50418591370869,0.541593487188902,0.488763044145247,0.519044133006936
"1880",0.508622532829872,0.528212081246067,0.526645268932242,0.519962869016153,0.490176058359555,0.53301264365429,0.552304659051815,0.52552218061674,0.549866683994126
"1881",0.495252477901694,0.493060957786039,0.519932163362247,0.491741977984304,0.490715795931433,0.54162526394052,0.560704258612144,0.501582586575795,0.525424409851301
"1882",0.510646558872134,0.514286866783722,0.521156268663499,0.506717599752117,0.525656001921091,0.544359048316464,0.564405000206569,0.513120078826689,0.524421555835571
"1883",0.499140460221221,0.486051663150348,0.514759659156084,0.492262213314215,0.504142950102417,0.521240341007784,0.555140886112249,0.501568167165096,0.524491752867677
"1884",0.489987621061224,0.491406010122449,0.51903111244898,0.499718280061225,0.497012022040816,0.512637342571429,0.549503746530612,0.503761607183674,0.537910964857143
"1885",0.491825828179398,0.479793905181241,0.510940979152161,0.486974043047307,0.490389075855007,0.523909185889822,0.552471637825108,0.498883719229982,0.521369800286709
"1886",0.470281801563737,0.472753455661124,0.498056086302455,0.472458951286619,0.471019966330166,0.511565846001584,0.532196685273159,0.474673807996833,0.516131691290578
"1887",0.4588598542518,0.470200484919245,0.485648870675229,0.464386533372251,0.465872543335279,0.477969834792761,0.524199608873322,0.475606818369333,0.488264242440163
"1888",0.436466140478469,0.472870412019139,0.47397314415311,0.449370163330144,0.460050988899522,0.459150361626794,0.509652030622009,0.452999564937799,0.481969325473684
"1889",0.438290966034846,0.470638719490714,0.470156344763546,0.458974718667433,0.477929826957687,0.469520259869807,0.507524087421022,0.463829381351714,0.484874050641394
"1890",0.466112510705789,0.485135083009516,0.489649663818398,0.472113990840603,0.493849655035686,0.493253924444885,0.520353747145123,0.486415715741475,0.49101731443299
"1891",0.459139117012936,0.469076869698158,0.47435366130929,0.459339301842415,0.473120145629165,0.500508048686789,0.516178249411995,0.462809422971384,0.486334766777734
"1892",0.451585214206459,0.472072189280761,0.485568712700614,0.465046143907272,0.473575994214385,0.508054623816128,0.512733353160293,0.46834720982762,0.486819793302952
"1893",0.454940747165754,0.483717746559812,0.481057502541048,0.470181347263487,0.46650377326036,0.480408403244722,0.506337204241595,0.478658631254887,0.482145570992963
"1894",0.444802274388129,0.462935424860281,0.465929531932935,0.455146308460204,0.468618940643669,0.473992761167855,0.500804419117364,0.456325396299865,0.468182653671228
"1895",0.415025644028884,0.428785125902611,0.443011862803185,0.43906729166821,0.434136944639882,0.440088479244584,0.484393183669691,0.440730089983336,0.453503466358082
"1896",0.42619845568054,0.421783442182227,0.443763784026997,0.450580491938508,0.434592418635171,0.45328498087739,0.488821100899887,0.443237781571054,0.454243444356955
"1897",0.414619003685185,0.416910985037037,0.440042784444444,0.440894480648148,0.426232045185185,0.435853484037037,0.478703375925926,0.442789037222222,0.43954629537037
"1898",0.405765269646455,0.412421445319656,0.439946089943213,0.436484878732369,0.419640877376809,0.438346463454845,0.471332405935153,0.439901745704341,0.439662021835501
"1899",0.454647349685658,0.452014935284872,0.477612371021611,0.464291083811395,0.462018221394892,0.489580922750491,0.497714789823183,0.460517810314342,0.46061640805501
"1900",0.433205423013594,0.420005169596018,0.45483854122152,0.447591532107984,0.431775381964388,0.494094379934903,0.485518061726977,0.443724810645223,0.449753676660923
"1901",0.434449591490166,0.424809786875946,0.445417375605144,0.442879234871407,0.426138822049924,0.484398344005295,0.475515552155824,0.44756091045764,0.455901368192133
"1902",0.401081801462523,0.393680886453382,0.426110416526508,0.419535895904936,0.398692406142596,0.444353027897623,0.468469197787934,0.414433100968921,0.42212816226691
"1903",0.401178309530738,0.387687774645326,0.42135871345944,0.413813085522008,0.403803630956712,0.447344365987632,0.459388378610404,0.414393168352128,0.419751608293925
"1904",0.388990882214583,0.380924133526325,0.421075883263977,0.41703535232495,0.392506494843496,0.433860374742175,0.458220851166998,0.417127545359146,0.422842820770762
"1905",0.404449975725836,0.392742937008453,0.42021588568541,0.411541624476295,0.407676693127527,0.450242888754135,0.460811081734656,0.419725576957001,0.415496718669607
"1906",0.377210005410184,0.369650220120226,0.409790489674682,0.397386469218529,0.382953048090523,0.43393636615983,0.444529636244696,0.399549075318246,0.398817626768034
"1907",0.365081845647969,0.36043795199578,0.395733347230526,0.384948204061896,0.371846117109196,0.418773907490768,0.434613119535783,0.396045095129242,0.381629531000528
"1908",0.372635349724836,0.376501918214096,0.401381370229008,0.388353927179123,0.383763605290254,0.428688626912835,0.44676187480916,0.407088613083614,0.391439392969998
"1909",0.347609663695578,0.34551376774083,0.375582798868701,0.365390714261227,0.363376135481659,0.403376157799109,0.423770703291052,0.380224765512513,0.360859490315392
"1910",0.355213821440942,0.346843050051957,0.37878462164877,0.367417001143055,0.358278948735712,0.41385517464496,0.423932557533772,0.385938033945272,0.368130383425701
"1911",0.353512083979997,0.352132338178996,0.396470734695637,0.386649448698051,0.363097035264701,0.403654207380583,0.42488079199862,0.383675142231419,0.382643197930678
"1912",0.351234490213061,0.3400789187251,0.379476219833709,0.359511229083665,0.361697098007968,0.399490373774467,0.414036476147584,0.380344252728218,0.353316848033951
"1913",0.340791681515617,0.329840955282471,0.375386624645844,0.362504160744154,0.349994533196791,0.394458323775388,0.409543082437276,0.375042110769756,0.346728952585765
