Fcohort,1900,1910,1920,1930,Mcohort,1900,1910,1920,1930,Fperiod,1900,1910,1920,1930,1940,Mperiod,1900,1910,1920,1930,1940,Fperiod,0,30,Mperiod,0,30,,,
21,0.00458,0.00351,0.00192,0.00091,21,0.00437,0.00381,0.00265,0.00199,21,0.0067,0.00495,0.00585,0.00364,0.00202,21,0.00702,0.00574,0.00537,0.004,0.00262,1921,0.05984,0.00501,1921,0.07529,0.00481,,,
22,0.00468,0.00335,0.0019,0.0009,22,0.00449,0.00356,0.00287,0.00214,22,0.00712,0.00525,0.00623,0.00383,0.00212,22,0.00745,0.00609,0.00558,0.0042,0.00276,1922,0.0575,0.00507,1922,0.07283,0.00502,,,
23,0.00479,0.00326,0.0019,0.00084,23,0.00472,0.00359,0.00353,0.00217,23,0.00737,0.00543,0.00643,0.00395,0.00219,23,0.00762,0.00624,0.00567,0.00431,0.00284,1923,0.06051,0.00493,1923,0.07539,0.00505,,,
24,0.00471,0.00331,0.00182,0.00082,24,0.00456,0.00374,0.00369,0.00198,24,0.00748,0.00552,0.00651,0.00403,0.00226,24,0.00761,0.00625,0.00569,0.00436,0.00289,1924,0.05678,0.00458,1924,0.07223,0.00471,,,
25,0.00477,0.00336,0.00171,0.00085,25,0.00462,0.00379,0.00359,0.00189,25,0.00754,0.00558,0.00653,0.00409,0.00231,25,0.00753,0.0062,0.00566,0.00439,0.00292,1925,0.05597,0.00459,1925,0.07093,0.00478,,,
26,0.00487,0.00357,0.00163,0.00085,26,0.00467,0.00396,0.00231,0.00177,26,0.00763,0.00566,0.00658,0.00415,0.00238,26,0.0075,0.00621,0.00566,0.00444,0.00297,1926,0.05789,0.00467,1926,0.0729,0.00481,,,
27,0.00458,0.00333,0.00156,0.00092,27,0.00457,0.00385,0.00217,0.00172,27,0.00774,0.00577,0.00667,0.00422,0.00245,27,0.00756,0.00629,0.00575,0.00451,0.00304,1927,0.05119,0.00452,1927,0.06533,0.00461,,,
28,0.00472,0.00298,0.00145,0.00094,28,0.00494,0.00341,0.0021,0.00167,28,0.0079,0.00593,0.00684,0.00429,0.00254,28,0.00776,0.0065,0.00596,0.00461,0.00314,1928,0.05406,0.00476,1928,0.06918,0.00499,,,
29,0.00476,0.00285,0.00142,0.001,29,0.00504,0.00331,0.00206,0.00176,29,0.00809,0.00614,0.00707,0.00437,0.00265,29,0.00806,0.0068,0.00626,0.00475,0.00326,1929,0.05349,0.0048,1929,0.06736,0.0051,,,
30,0.00445,0.00277,0.00143,0.00106,30,0.00491,0.0034,0.00213,0.00183,30,0.00829,0.00635,0.0073,0.00445,0.00277,30,0.00838,0.00713,0.0066,0.00491,0.0034,1930,0.05179,0.00445,1930,0.06495,0.00491,,,
31,0.00447,0.00273,0.00146,0.00112,31,0.00496,0.00345,0.00222,0.00186,31,0.00846,0.00655,0.00749,0.00453,0.00289,31,0.00867,0.00744,0.00689,0.00507,0.00355,1931,0.04836,0.00433,1931,0.06113,0.00475,,,
32,0.00432,0.00264,0.00148,0.0012,32,0.00472,0.00353,0.00227,0.00197,32,0.00861,0.00671,0.00763,0.00463,0.00302,32,0.00894,0.00773,0.00714,0.00525,0.00371,1932,0.04628,0.00406,1932,0.05826,0.00434,,,
33,0.00426,0.0028,0.00149,0.00131,33,0.00486,0.00358,0.00232,0.00214,33,0.00875,0.00683,0.00769,0.00476,0.00316,33,0.00917,0.00798,0.00729,0.00543,0.00388,1933,0.04642,0.00389,1933,0.05806,0.00428,,,
34,0.00437,0.00282,0.00149,0.00146,34,0.00521,0.00375,0.0023,0.00238,34,0.00887,0.00692,0.00769,0.0049,0.0033,34,0.00938,0.00821,0.00739,0.00562,0.00407,1934,0.05002,0.00383,1934,0.06319,0.00435,,,
,,,,,,,,,,,,,,,,,,,,,,1935,0.04542,0.00375,1935,0.05848,0.00427,,,
,,,,,,,,,,,,,,,,,,,,,,1936,0.04709,0.00377,1936,0.05991,0.00437,,,
,,,,,,,,,,,,,,,,,,,,,,1937,0.04605,0.00353,1937,0.05839,0.00422,,,
,,,,,,,,,,,,,,,,,,,,,,1938,0.04369,0.00308,1938,0.05562,0.00363,,,
,,,,,,,,,,,,,,,,,,,,,,1939,0.04064,0.00293,1939,0.05174,0.00346,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
