"","SWE","DNK","FRATNP","GBRTENW","NOR","FIN","ITA","GBRSCO","NLD","CHE"
"1",0.151923945906282,0.171511645822179,0.186644953717428,0.17348656072052,0.15240334938345,0.180176184906953,0.211569741692109,0.191381585006927,0.159869858882207,0.159869858882207
"2",0.148642023469293,0.169186776159045,0.181066844507499,0.169523168588114,0.149436898773083,0.174365869719566,0.204341224962697,0.186733061943355,0.156169784580512,0.156169784580512
"3",0.145436937023861,0.166787312005913,0.175866968617114,0.165607748558988,0.146529880016167,0.168529655401639,0.197595864039186,0.182026886210354,0.152587865086319,0.152587865086319
"4",0.142579528952341,0.164531554441799,0.171032034287728,0.161789550051022,0.143658348851767,0.163062485284944,0.191103546545722,0.177504562325291,0.149333792157476,0.149333792157476
"5",0.139687590800601,0.162343778669754,0.166284821776113,0.158028268709451,0.141001046132002,0.157717945782765,0.184928003856288,0.172909076321616,0.146356118830274,0.146356118830274
"6",0.136931585910822,0.160041972087186,0.161698854470965,0.154227181150295,0.138400277561821,0.152869425176541,0.178808062671871,0.168251019388805,0.143490943028994,0.143490943028994
"7",0.134290208760845,0.157418690696993,0.157324117929233,0.150638581447716,0.136011963327952,0.148324806442833,0.197123122660868,0.16390998230108,0.140882786949259,0.140882786949259
"8",0.131585940189955,0.154336933823584,0.152984793128859,0.146925575361955,0.133604950663523,0.143817090691123,0.190825396042654,0.159471196131465,0.138248801938671,0.138248801938671
"9",0.129218577928295,0.151264363380413,0.149133090658629,0.143451397244824,0.131450191727303,0.140250771545018,0.184838661340568,0.155346886284127,0.135853523653328,0.135853523653328
"10",0.126819699557603,0.148154099551896,0.145554815199013,0.140264857432206,0.129381630902782,0.136769207881247,0.17909402971349,0.151611869445215,0.13347421864268,0.13347421864268
"11",0.124528074348556,0.14487679728871,0.142159251392598,0.137182363217281,0.127568431041362,0.133678216091105,0.173715857991241,0.14808460549181,0.13119813379188,0.13119813379188
"12",0.122370586768457,0.141561564327569,0.139024866669971,0.134388067843008,0.125657356625372,0.130678669567262,0.168289085116169,0.144885334694445,0.12922493199164,0.12922493199164
"13",0.120407083563829,0.138204244284429,0.13598178142887,0.131583865142555,0.123780051966023,0.128031339119273,0.186011096032199,0.141752412516251,0.127217291295689,0.127217291295689
"14",0.11856228910527,0.134792000949028,0.133303175115066,0.129083476667901,0.121884136242076,0.125432849213345,0.180511462160832,0.138841674027418,0.125258797072153,0.125258797072153
"15",0.116843256261081,0.131411914558157,0.130809837990596,0.126935044723074,0.120072724178835,0.123172858608593,0.175429309203134,0.136504447267944,0.12326418131772,0.12326418131772
