"","SWE","DNK","FRATNP","GBRTENW","NOR","FIN","ITA","GBRSCO","NLD"
"1989",0.151923945906282,0.171511645822179,0.186644953717428,0.17348656072052,0.15240334938345,0.180176184906953,0.211569741692109,0.191381585006927,0.159869858882207
"1993",0.145436937023861,0.166787312005913,0.175866968617114,0.165607748558988,0.146529880016167,0.168529655401639,0.197595864039186,0.182026886210354,0.152587865086319
"1997",0.139687590800601,0.162343778669754,0.166284821776113,0.158028268709451,0.141001046132002,0.157717945782765,0.184928003856288,0.172909076321616,0.146356118830274
"2001",0.134290208760845,0.157418690696993,0.157324117929233,0.150638581447716,0.136011963327952,0.148324806442833,0.172997042017585,0.16390998230108,0.140882786949259
"2005",0.129218577928295,0.151264363380413,0.149133090658629,0.143451397244824,0.131450191727303,0.140250771545018,0.161791466198356,0.155346886284127,0.135853523653328
"2009",0.124528074348556,0.14487679728871,0.142159251392598,0.137182363217281,0.127568431041362,0.133678216091105,0.151529430949514,0.14808460549181,0.13119813379188
"2013",0.120407083563829,0.138204244284429,0.13598178142887,0.131583865142555,0.123780051966023,0.128031339119273,0.142273159035305,0.141752412516251,0.127217291295689
"2017",0.116843256261081,0.131411914558157,0.130809837990596,0.126935044723074,0.120072724178835,0.123172858608593,0.134224241989869,0.136504447267944,0.12326418131772
