"1903" "1904" "1905" "1906" "1907" "1908" "1909" "1910" "1911" "1912" "1913" "1914" "1915" "1916" "1917" "1918" "1919" "1920" "1921" "1922" "1923" "1924" "1925" "1926" "1927" "1928" "1929" "1930" "1931" "1932" "1933" "1934" "1935" "1936" "1937" "1938" "1939" "1940" "1941" "1942" "1943" "1944" "1945" "1946" "1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013"
"1" NA -1.4258664540745e-08 -3.35329935069462e-08 -6.9010806097447e-08 -1.48889154977239e-07 -3.48812513387142e-07 -6.32922335583319e-07 -9.52854918856438e-07 -1.61106646265341e-06 -2.6116660808706e-06 -4.1109124138683e-06 -5.18090105740276e-06 -1.25738991249291e-05 -1.79112001868903e-05 -2.18842492189231e-05 -5.49127520247522e-05 -4.64860566049413e-05 -4.43158600941657e-05 -6.36604400327673e-05 -6.28904961463422e-05 -6.78522518613167e-05 -6.87542123726514e-05 -7.0692350771645e-05 -7.71852502346598e-05 -6.31884918670667e-05 -5.34971605125473e-05 -3.76012279090926e-05 -1.56107432535413e-05 3.92795272342872e-06 2.72783648726793e-05 4.52867671875412e-05 6.4282403471283e-05 9.85280268838568e-05 0.000115320177974179 0.000183205492511607 0.000217511503945902 0.000210492292587669 0.000229122478785398 0.000274698529042369 0.000375310711402538 0.000398217846995313 0.000316986215218321 0.000322401272434242 0.000379313511616533 0.000328804395718849 0.000310054774229046 0.000320338246289076 0.000293006191690967 0.000324742351192092 0.000339486860344976 0.00030715946084621 0.000290920216609203 0.000270138957783078 0.000263564109236641 0.000302321398176833 0.000300065119198403 0.000275275012000809 0.00026821021450403 0.00025261075497765 0.00026271805836986 0.000259646670338579 0.000227058135610345 0.000227997784962408 0.000227065820376335 0.000214640697642113 0.000216473065015474 0.000204289966376461 0.000188030464674305 0.000191267520879765 0.000184081187142929 0.000177941951482047 0.000141274197105662 0.000122487583031072 0.000108876275946176 0.000101886642469934 9.9641332018785e-05 7.91702769538105e-05 7.46147559840676e-05 7.8156897987916e-05 6.41490741485895e-05 5.0582071931593e-05 4.41083702944489e-05 3.19114717278468e-05 3.23677379826387e-05 2.37973592662338e-05 2.41861800117787e-05 1.15129011593329e-05 1.50413339944228e-05 2.27970182808818e-05 3.01930179849724e-05 1.68750181403637e-05 1.43773599909358e-05 1.92378176023245e-05 1.11784144937455e-05 1.00736659871536e-05 6.25751132503349e-06 7.96744290641749e-06 -5.56798815995463e-06 -3.93591363959112e-07 2.66543554153231e-06 -9.38136312532423e-06 -6.33658856220853e-06 -6.99094861264515e-06 -6.44595954242544e-06 -8.05785347868238e-06 -4.67506413869001e-06 -2.76334828137881e-06 -1.73140667264482e-06 -4.11726952734282e-06 -6.03387731777649e-06 -3.04113612445422e-07
"2" NA NA -7.27422205804018e-09 -3.04312493121239e-08 -5.61432763751535e-08 -1.23460841425227e-07 -2.59935382634913e-07 -4.19008986493608e-07 -9.04232684659223e-07 -1.18637550525214e-06 -2.21235082646654e-06 -2.80654859613483e-06 -5.92328331136538e-06 -1.0361869865555e-05 -1.08031123550456e-05 -3.28407865480551e-05 -2.02303471178306e-05 -3.01587697537631e-05 -3.39440732509411e-05 -3.24446341161272e-05 -3.87442820279499e-05 -3.0351944698595e-05 -4.43518262837894e-05 -5.21808702922955e-05 -3.67774742955074e-05 -3.6014241633478e-05 -2.86723494216379e-05 -1.89390216150387e-05 -8.55801539670353e-06 2.41005310709641e-06 1.24517155386666e-05 2.56235122530479e-05 4.01300098210461e-05 4.89563938804866e-05 7.42651796721283e-05 8.24492714684988e-05 8.57987581649455e-05 7.78348200634049e-05 0.000109524855514187 0.000113249957185702 0.000126666731961295 9.11257920064162e-05 0.000114974769708884 0.000143390739174118 9.89641061609897e-05 7.99178719117777e-05 8.24183397443584e-05 6.37760017396377e-05 6.52046675942985e-05 5.82714088248754e-05 4.71324178585725e-05 3.56640072159964e-05 2.85537928427365e-05 2.75926028879409e-05 3.0800991367444e-05 3.56885904789911e-05 2.61660248313533e-05 2.46367176239271e-05 2.08453870520209e-05 2.02573220691865e-05 1.56178704068671e-05 1.49036777627454e-05 1.41180867612306e-05 1.1046102345702e-05 1.02111053992132e-05 8.75550657362945e-06 8.67357942435643e-06 6.46833804526792e-06 3.36353096733188e-06 3.01242511362154e-06 1.09943045806249e-07 1.38207151417769e-08 -7.23777441993811e-07 -6.73618422097899e-07 NA -1.43191684096045e-06 -8.26131397207996e-07 3.43630726915012e-07 3.58991761248428e-07 -1.29785488318934e-06 -4.92170558002991e-07 -3.12613295827546e-06 -1.71997582919248e-06 -1.84274118784911e-06 -1.93548898361207e-06 -2.26257280676323e-06 -2.85815280469393e-06 -4.62328915538934e-06 -2.07243207556163e-06 -6.37662088381896e-07 -3.41785313578979e-07 -1.6407822866632e-06 -4.9323545012192e-07 -5.5415351428445e-07 -1.96513718055125e-06 -2.17866246585152e-06 -1.95486967961844e-06 -1.3238129747406e-06 -2.71080837929705e-07 -7.38320919374535e-07 -1.96001473666552e-06 -1.73622140106633e-06 -1.57034007527979e-06 -7.85586864074372e-07 -1.05768283789609e-06 -8.31678700338734e-07 -5.89904828665611e-07 -6.05166655676115e-08 -8.32629055896872e-07 -4.24045778268933e-07 -4.54561971979794e-07
"3" NA NA NA -5.72807661025632e-09 -1.09651396018595e-08 -2.88637491824284e-08 -5.72463286635516e-08 -1.02994845638249e-07 -1.93311953472497e-07 -3.03610347376915e-07 -5.66896821374563e-07 -6.94436190940007e-07 -1.52051658908192e-06 -2.99739219518369e-06 -3.06936461740015e-06 -1.22835740711813e-05 -6.48847573014866e-06 -1.02392775868099e-05 -1.17301035243295e-05 -1.15325557815127e-05 -1.332449756479e-05 -1.03165018983942e-05 -1.64993471083591e-05 -1.8785987098674e-05 -1.35867806561885e-05 -1.37778978644004e-05 -1.16115504290304e-05 -8.2447797389168e-06 -5.10239312981331e-06 -2.47129990424422e-06 6.62732894674001e-07 3.47773613446067e-06 7.19207495976371e-06 9.86170603861636e-06 1.52748451402174e-05 2.70663637639418e-05 1.80833905163158e-05 1.43934326595069e-05 2.50189101876214e-05 2.60331217467463e-05 3.20060419950474e-05 2.16316163971081e-05 2.38153611714781e-05 3.96235087990054e-05 2.91919713069355e-05 2.22850805373376e-05 2.38700480139215e-05 1.68003556679508e-05 1.42868142644081e-05 1.58941247345584e-05 1.34582788453436e-05 9.49324101312543e-06 9.93427829215632e-06 1.08880957046115e-05 1.0119485369095e-05 1.0452209433201e-05 9.66714952957415e-06 7.5677966695914e-06 6.13236034659181e-06 7.25582412661185e-06 5.29503410981458e-06 5.38202368667584e-06 4.60028072460372e-06 1.97436766838366e-06 3.57901020281437e-06 2.70159982794504e-06 2.40884646024453e-06 1.54675427713191e-06 3.01029966583155e-06 1.50462898772241e-06 -1.49866586168779e-07 -2.10170920635078e-06 -7.04555471978119e-07 -1.02954603523053e-06 NA -5.07932844617809e-07 -8.78644950116914e-07 5.6956158055177e-07 -6.58382329377094e-07 -9.76206150568593e-07 1.2254918393545e-06 -2.31536712441693e-07 -2.61675199661471e-07 -1.12205079669248e-06 -8.91911184394689e-07 -8.79551941973533e-08 -1.21919988595176e-06 -1.28150326796084e-06 -2.36281133922378e-07 -5.91995054644023e-08 1.63103616235283e-06 9.657763963139e-07 4.02665779622446e-07 -4.63264496874949e-07 -2.99487146054878e-08 -1.33490952737569e-06 -1.36712959027119e-06 -6.91626522650313e-07 -6.76889919004608e-07 -1.29510798499433e-06 -1.65728232259799e-06 -9.49719572956864e-07 -1.53974900926612e-06 -3.92527217216165e-07 -3.17220015644271e-07 -6.19461319947834e-07 -9.07217758833179e-08 -5.29346523739371e-07 -3.17686024098318e-07 -5.90343457160247e-07 2.12008612124337e-07
"4" NA NA NA NA -2.44113131098178e-09 -7.11557635035831e-09 -1.45257470079985e-08 -2.65551622774529e-08 -4.87885339628402e-08 -7.9011588660638e-08 -1.69410892772448e-07 -2.09266348513704e-07 -4.45690837569401e-07 -9.85154251897935e-07 -1.15042969948964e-06 -5.31272048058529e-06 -2.17197459131957e-06 -3.73430976562117e-06 -3.89220053012562e-06 -5.3824663268226e-06 -5.75389848382624e-06 -6.26849546370156e-06 -7.23791372785054e-06 -8.10641631963926e-06 -6.67350512636999e-06 -6.69976163131247e-06 -5.48343234607618e-06 -4.76888804114284e-06 -3.62730848901816e-06 -2.42720665291629e-06 -1.08704023117634e-06 2.68473345249598e-07 1.67288896155138e-06 3.1948110098684e-06 5.29812641075766e-06 3.82320887455656e-06 7.00273141900076e-06 4.69514215299671e-06 8.75873264243043e-06 9.57064467135837e-06 1.12972535091654e-05 6.64603743819048e-06 7.37693508394421e-06 1.39005044146046e-05 1.14184512371718e-05 8.09471221420444e-06 1.07210394308804e-05 7.1599012010648e-06 6.76111631024712e-06 7.47670426796965e-06 5.79307841283572e-06 5.84858508946573e-06 5.25886320468238e-06 4.8507306722595e-06 5.11719548995648e-06 4.96634947673436e-06 4.60447817395016e-06 4.23198076197895e-06 3.65786288983316e-06 3.43757142973189e-06 2.02682284272671e-06 9.3981133504617e-07 1.78515779999944e-06 3.15827791738665e-07 2.17887049736021e-07 5.7047564099022e-07 6.2933759785444e-07 -4.10167031117403e-07 5.33230974791854e-08 -5.374234930966e-07 -2.16835850455621e-07 -1.64817246396665e-06 -3.70839748076168e-07 -1.06358066848111e-06 -1.11293431229176e-06 -7.71474233621228e-07 9.87513245481741e-08 -6.94357704347781e-07 -3.41684749965987e-07 -9.0160321118693e-07 -3.5886169337529e-07 -9.80265659200619e-07 -6.51137722129658e-07 -4.94217851171319e-07 -3.93427304387628e-07 -1.08191955472403e-06 -1.02602011942121e-06 -1.20440189323168e-06 -1.13414303053172e-06 -2.36266837483345e-07 1.15437589863487e-06 5.04071364093583e-07 5.34876769209269e-07 3.57901022374207e-07 5.97745846292463e-08 5.69002600661617e-07 -1.04987672916446e-07 -4.35648426125312e-07 -3.60849013003595e-07 -1.05290107479949e-07 -8.43250046955735e-07 -4.97161600790386e-07 -8.59304537872974e-07 -2.41519240329335e-07 -6.3408200920434e-07 1.35950881594016e-07 -4.38122062768054e-07 -4.98955115987854e-07 -1.81486016576082e-07 -7.56378061711471e-08 3.93550987146107e-07
"5" NA NA NA NA NA -2.20850034093889e-09 -4.13119148612306e-09 -7.99673369189513e-09 -1.60388098496833e-08 -2.56624291400387e-08 -5.22105620681668e-08 -7.50659428089273e-08 -1.4566437572805e-07 -4.00298376002084e-07 -4.8676129778269e-07 -2.65359987429437e-06 -1.10536337288858e-06 -1.68914583734137e-06 -1.87243416006899e-06 -2.43338184841013e-06 -2.99826062423458e-06 -3.43076494584149e-06 -4.44489985818031e-06 -4.69799453621522e-06 -3.32461862781464e-06 -3.84482336256153e-06 -3.45088162434504e-06 -3.08392267282798e-06 -2.59002555645649e-06 -2.08658209818746e-06 -1.26073604021781e-06 -5.13951520078604e-07 1.76101192655986e-07 7.02902072713396e-07 2.07753663673815e-06 1.07859861973869e-06 3.29927310978306e-06 2.23395369985946e-06 3.94022214549039e-06 5.76832951827699e-06 4.66130549911514e-06 4.51443953422559e-06 4.81197339952111e-06 8.3171912727692e-06 6.67367691513376e-06 4.18361787765664e-06 6.07324413204324e-06 3.60223746292965e-06 3.83742948477372e-06 4.28836895240148e-06 3.93533376602528e-06 3.35648595967131e-06 3.04960502341134e-06 3.36237877118784e-06 3.70188542787864e-06 2.61229878364966e-06 2.38138859269543e-06 1.58016714192633e-06 2.40585008313976e-06 2.50904351832559e-06 1.73054654400984e-06 2.08742146899643e-06 8.77817099897982e-07 2.24647831212343e-07 7.70500687252706e-07 1.2816219269185e-07 -3.62964864331072e-07 -6.55490147341564e-07 -2.24903045881186e-07 2.66596140441333e-08 -6.7169378387133e-07 -9.34976390642994e-07 -7.76377346328738e-07 6.45470434434969e-07 -1.10491773420984e-06 -9.73721023117546e-08 -1.12200902216419e-06 2.53916695724943e-07 -1.02019744925574e-06 -5.6943235876572e-08 -1.28795236795098e-07 7.17672137690029e-08 7.92800393015214e-07 -3.18319468853301e-07 5.81436562646642e-08 4.37115770524077e-08 -5.11702517011492e-07 2.78483931720475e-07 -1.32180353745737e-07 3.24024798672995e-07 -1.47661229910057e-08 1.92375210386619e-07 -4.89207978029982e-07 3.26852223869745e-07 2.2368954408214e-07 -5.97712440236764e-08 -5.09080096827708e-07 -7.19901894222219e-07 -4.50683669828145e-08 1.05246170459261e-07 -3.15867295944128e-07 -1.35519250085703e-07 -6.02624608270208e-08 1.65821907330277e-07 -3.01890820675332e-07 -3.32128759800154e-07 4.53150487328413e-07 1.3596999072496e-07 9.07162467367328e-08 -1.81486933981123e-07 -3.93318327129855e-07
"6" NA NA NA NA NA NA -1.10645480277949e-09 -1.93623642119611e-09 -4.2735969901786e-09 -5.72497164952335e-09 -1.60502263979456e-08 -1.85816805692296e-08 -5.08846221686232e-08 -1.45299872009175e-07 -1.70859658824019e-07 -1.20860589616911e-06 -4.45290091063977e-07 -7.38080683668207e-07 -7.56066130425115e-07 -9.74273960063776e-07 -1.17041691828634e-06 -1.83333218435611e-06 -2.45027373352302e-06 -2.65352610598346e-06 -1.95938888311598e-06 -2.14244667898211e-06 -1.90613004576179e-06 -1.5809653869242e-06 -1.59230149379685e-06 -1.28615674782617e-06 -1.02203683957636e-06 -4.86192548845854e-07 -3.2300459727741e-07 9.06282845297701e-08 5.21792994451209e-07 1.0677939460968e-06 1.39776943815229e-06 6.60902379531758e-07 1.8759700382287e-06 2.56495668896073e-06 4.34613937773387e-06 1.81682400718364e-06 2.97316022758454e-06 5.63799069197568e-06 2.62251511036482e-06 3.01966599207393e-06 3.57758090378801e-06 2.85283381613877e-06 2.20034168073313e-06 2.53494624960493e-06 2.14350150472276e-06 1.88172703463607e-06 2.00168616346086e-06 2.40256367350922e-06 1.47791114378515e-06 2.47793103209937e-06 2.79851311557611e-06 1.14556521507714e-06 1.70588222354884e-06 9.52963000941387e-07 6.38984423248501e-07 -4.8061986654413e-08 1.09843390300179e-07 -2.34898649545401e-07 -4.86679077510432e-07 -2.02090874007466e-07 -6.53585095600207e-07 -2.33313405748059e-07 NA -6.87900256243767e-07 1.59946791311594e-07 -1.06120286855194e-06 -7.85884296639061e-07 -6.80951004194963e-08 -6.17961470800177e-07 -9.39143868089465e-07 -4.31201128026082e-07 -8.41514750798966e-08 -2.96228700374934e-07 1.27517771814079e-07 -7.40240030355777e-07 -4.29293565251676e-07 -1.04773176602679e-06 -1.16748921284715e-06 1.44685460973237e-08 -8.72129552742518e-08 -2.47690670140965e-07 -4.09347771665458e-07 1.11394566988665e-06 -3.37789713658609e-07 2.65114158265467e-07 3.83902702003058e-07 1.21347191169019e-06 -7.41245468477425e-08 -1.18852669081515e-07 -7.15765127626278e-07 -2.54024424495292e-07 -9.28308999309513e-07 1.19985300209291e-07 2.10319639495915e-07 -4.36007329615573e-07 3.00807643932588e-08 -7.52886585020374e-07 -3.76629558873631e-07 -4.52226927433186e-08 -2.41512436105484e-07 -3.92516312550106e-07 -2.26572768713407e-07 -1.51077334975547e-07 -3.17509512043346e-07 1.9660514619102e-07
"7" NA NA NA NA NA NA NA -6.70815014647275e-10 -1.47070487732659e-09 -2.10018838431303e-09 -5.13004984326049e-09 -7.73076327953426e-09 -1.74474493325194e-08 -5.07382788977884e-08 -7.90443266118768e-08 -6.3331125571553e-07 -2.28971803961642e-07 -3.2890638834715e-07 -4.32535046140936e-07 -4.90742844277969e-07 -6.16442205378376e-07 -7.97065689506216e-07 -1.63725078236587e-06 -1.62527811496671e-06 -1.58596551905199e-06 -1.2920025447144e-06 -1.29084692511439e-06 -1.06839516712809e-06 -9.81946817205093e-07 -9.92252258455451e-07 -8.23553375120523e-07 -3.68791496563325e-07 -4.46027694958606e-07 -1.3462853569457e-07 6.58237171852205e-08 4.47559805633047e-07 8.58143161724945e-07 2.8259798705299e-07 8.49337172828535e-07 1.87824467817732e-06 3.39959412426483e-06 2.27650799745904e-06 2.93386494946979e-06 3.1024810375202e-06 2.85353629737861e-06 2.20903354497537e-06 2.60110354734222e-06 1.96986604913962e-06 1.13501292064999e-06 2.4292916214752e-06 1.64989220986789e-06 2.00722727322633e-06 2.17465530398531e-06 2.34473200790009e-06 1.79670194343229e-06 1.59226245226296e-06 1.73751620156926e-06 1.48134883458384e-06 1.05564936407621e-06 1.1447482092114e-06 8.13431306020962e-07 7.92770984678337e-07 -1.14134706177826e-06 2.440877026888e-07 -1.85425949733586e-07 -4.61721952504934e-07 -4.54674451977333e-07 -5.12559966275861e-08 -8.42427153091574e-07 -9.17594874388916e-08 1.32282696047037e-07 -7.46321098921143e-07 5.50743592231395e-07 3.52276685849917e-07 3.40479115526482e-07 6.8663183749873e-08 -1.20149879173637e-06 5.84207369619394e-07 -5.18908774865823e-07 7.89908985346366e-07 -9.91790768872791e-07 7.11751785148484e-08 1.7171622121448e-07 2.87037849322491e-08 5.76563175397338e-08 -5.06391280644114e-07 -2.90687709084136e-07 -9.61606845636953e-07 4.38601706759245e-08 1.46566736247689e-08 6.90296595176609e-07 3.38749523987047e-07 4.57741992351823e-07 -1.47975035641457e-07 1.77903176135086e-07 -2.97119060327367e-08 -3.28068224128564e-07 4.9310854169371e-07 -8.98358556156165e-08 6.89909781761977e-07 -9.61444599587025e-07 NA -3.15855396407216e-07 1.95750339493372e-07 1.05455743748539e-07 -6.02982350439429e-08 -2.26417552873226e-07 4.98202306895013e-07 1.05733617944415e-07 1.51074202175971e-08 -4.53575191960987e-07
"8" NA NA NA NA NA NA NA NA -4.59144208764251e-10 -6.2943247836067e-10 -1.3104238666406e-09 -2.70672319280241e-09 -6.77283139294271e-09 -1.76979852162251e-08 -3.33096609184125e-08 -2.86376722433146e-07 -1.09449966825825e-07 -1.54694926854382e-07 -2.08217620700779e-07 -2.30723911198716e-07 -2.26079795218048e-07 -4.73648192819698e-07 -6.74465748820574e-07 -8.09656374181622e-07 -7.52613115287404e-07 -9.59605410799647e-07 -6.66695059367561e-07 -4.04555403940576e-07 -7.90267266209677e-07 -9.52628159217594e-07 -5.24381815455999e-07 -5.58901033786974e-07 -4.02869710827702e-07 -1.79245781189996e-07 -1.49799678925144e-07 5.20298773509786e-08 3.03196068598965e-07 2.00796581223406e-07 7.56328236109494e-07 9.78774662332982e-07 2.5421626648342e-06 2.11308246475528e-06 2.56406436911771e-06 3.1560937178432e-06 2.55697856661741e-06 1.52070844884611e-06 1.73091725130803e-06 1.42528210840542e-06 1.04306380459274e-06 1.12019286857556e-06 1.36879061375661e-06 1.743021618969e-06 1.80815196129669e-06 1.38031305567388e-06 1.93269755721648e-06 2.27090812796038e-06 2.6013061819874e-07 6.86355396420368e-07 7.13174518704451e-07 1.13412358583587e-06 1.11039008131308e-06 9.9927199428973e-07 -1.18314459063296e-08 2.64277336736729e-07 -3.78319274851879e-07 -3.33742833535933e-07 -1.12302850445445e-06 -1.13672044652069e-07 -4.61290971129347e-07 -1.32194272042807e-06 -5.76725120077226e-07 -9.25936367301983e-08 -1.51927516604811e-06 -4.02951286046505e-07 6.63901953926183e-07 -9.53286348887028e-08 -1.09852502788721e-07 1.51916223448123e-07 -2.64261924995401e-07 -3.64624285278947e-07 -6.91155070661753e-07 -2.97531287218877e-07 -6.54798401528156e-07 8.58570606415698e-08 -8.61121691175804e-08 -3.74759104498912e-07 -6.0766416221103e-07 1.59885056097431e-07 -2.33125019136193e-07 6.43255409896182e-07 -7.47495293468292e-07 5.43416696446863e-07 1.03099428203079e-07 1.13694613972093e-06 2.95964078383948e-07 2.81670566176784e-07 -7.87378593353205e-07 5.81557610665473e-07 -6.72407652613227e-07 6.73786288221678e-07 3.59950432279876e-07 -1.20178570719998e-07 -3.15725795438371e-07 -1.50406654547686e-07 NA -8.73779837637367e-07 3.46723663280368e-07 1.66040134599865e-07 -2.11358754081958e-07 6.04195818099118e-08 6.64740810257802e-07
"9" NA NA NA NA NA NA NA NA NA -1.82430501260988e-10 -6.10254041744085e-10 -4.7429814242772e-10 -2.26262193703253e-09 -8.07277837633347e-09 -1.33398761759107e-08 -1.64022589954627e-07 -5.23502439730983e-08 -9.95245976603831e-08 -9.49878864592302e-08 -1.35929678721225e-07 -1.57686101509569e-07 -1.89498987793191e-07 -3.05908012268596e-07 -3.88316487909268e-07 -5.17222753113056e-07 -6.14376986160514e-07 -6.41134722020875e-07 -4.49084392895038e-07 -5.32481726711609e-07 -6.9203817160135e-07 -6.84144697019051e-07 -1.84000735939382e-07 -5.50858201969762e-07 -2.76967653325966e-07 -3.57721219951257e-07 -9.63702094930463e-08 4.33044867464982e-08 5.77625190734121e-08 4.59648173189997e-07 7.27891594595742e-07 1.68678056501614e-06 1.9684760763361e-06 3.19627358580377e-06 2.51320185712389e-06 2.06100405417131e-06 1.20932708491672e-06 1.62612009180219e-06 7.81637428004522e-07 1.36081857421422e-06 1.57118421266478e-06 6.69123162197471e-07 1.21819967903447e-06 1.47082541816779e-06 1.44637588682384e-06 1.27621640332032e-06 9.9066518673141e-07 1.47345856564562e-06 1.25891280571e-06 5.68309574622283e-07 9.76468288046983e-07 6.62470479556587e-07 9.72884043479172e-07 3.71789313183268e-07 -1.18303912000073e-07 -9.48995416152898e-07 -5.24731947032508e-07 -2.59575205829865e-07 3.74330308000603e-08 8.84024680125606e-08 7.17520952958628e-07 -5.18392296866566e-08 9.56779066738078e-07 7.2749619293988e-07 1.0927983106479e-06 -3.89513878415459e-07 -2.84524015861654e-07 -2.99599152694952e-07 2.19705741974496e-07 -7.18103951788396e-07 1.66902289794324e-07 -1.68286252780203e-07 5.64201130259789e-08 9.91760988749979e-08 -9.96418602350335e-08 2.5756838056834e-07 -9.61564299142847e-07 -1.00891404189452e-07 -6.36600725884007e-07 5.52338458997825e-07 2.18555513756269e-07 4.38598906110643e-07 -3.0778518615715e-07 5.87475556659833e-07 3.3875311632181e-07 -6.05369237502429e-07 -2.21963654484236e-07 -5.92961035647543e-07 1.23307953558971e-06 -4.32451186152538e-07 9.41396652145987e-07 4.49177307057513e-07 -1.34980975494137e-07 -6.0090980591454e-07 -2.70627407067403e-07 4.51238328369463e-07 -2.55982804175936e-07 -6.0260143906754e-07 -4.22086822451928e-07 -3.62274831397502e-07 -6.79354327348669e-07 3.02099249643861e-08
"10" NA NA NA NA NA NA NA NA NA NA -1.91255122850009e-10 -7.15362352687876e-11 -7.77870046153595e-10 -2.67653169072624e-09 -5.80899235658183e-09 -7.47810643547675e-08 -2.68067009284723e-08 -4.64790874538101e-08 -7.02569865895786e-08 -6.03715359509538e-08 -1.14701249873117e-07 -1.251378935474e-07 -1.36063730754588e-07 -1.47077795886741e-07 -2.64350612386166e-07 -5.6388284042086e-07 -3.38482818912356e-07 -3.63097092809239e-07 -3.67756982672107e-07 -5.68365489214684e-07 -6.81325842022407e-07 -3.91518436074212e-07 -4.16092092378473e-07 -1.47199911107454e-07 -3.38757355430874e-07 -1.56995155264905e-07 -1.54504339378025e-07 1.32448894352155e-08 2.3523779246748e-07 5.1411745077834e-07 1.96037169332419e-06 2.38796933005325e-06 2.58200746086623e-06 2.06898471705186e-06 2.08960182963847e-06 1.64441329444931e-06 1.33612413852346e-06 9.79854044638739e-07 9.00783645077508e-07 1.11030687162395e-06 1.29663495514187e-06 1.4107180977968e-06 1.12315568934207e-06 1.12216409063615e-06 1.34689883138361e-06 8.97938464514136e-07 1.02001891028047e-06 4.44000272950551e-07 7.80270864059185e-07 1.37253558453454e-06 4.71745244909338e-07 7.52256314101585e-07 -3.43360977483886e-07 9.06212862389344e-07 -3.43052826826118e-07 3.12342203573346e-07 7.19952715610983e-07 -1.23601419377284e-08 -6.48814431208899e-07 -6.31428283548452e-08 2.69068819599982e-07 4.01733112900815e-07 1.96599458823776e-07 -7.93581211022687e-08 7.32951398435544e-07 9.93906556473467e-07 1.89674660977524e-07 1.04860284529107e-06 7.96412059522744e-07 1.38093436130582e-07 -1.66900192041797e-07 1.54259616760855e-07 -3.10309702516998e-07 -9.91723369259123e-08 1.42340812872566e-07 -2.57566865821679e-07 7.175936166115e-08 2.73860461225128e-07 -5.9319544376546e-07 4.79643518694339e-07 2.0398718891812e-07 1.11108020300899e-06 -2.63810207873361e-07 4.40593405093281e-08 -2.35654792943296e-07 1.18126279938235e-07 2.81149183670171e-07 -8.00544499204858e-07 5.49682335593271e-07 3.13165912479985e-07 -1.49426392162533e-07 -5.98907531623727e-08 -4.64945284175955e-07 -1.50226891065808e-07 7.51727431552718e-08 -2.7073085800966e-07 2.55983261324144e-07 -4.97148268149838e-07 1.50748880184404e-08 -4.83027796732705e-07 2.56645649468479e-07
